,n,nc,Pii,Pij,Phi,K,p,q,B,ratio,out-in,Graph,rep,design,Estimator,Bias,Abs_Bias,Rel_bias_sq,Bias_sq
0,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,0,Cluster,PI-$n$($p$),-0.02779043169022726,-0.07004337356856061,0.0007723080935291876,0.004906074180864935
1,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,0,Cluster,PI-$\mathcal{U}$($p$),-0.02779043169022726,-0.07004337356856061,0.0007723080935291876,0.004906074180864935
2,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,0,Cluster,LS-Prop,-0.05742536286539274,-0.14473564816574314,0.003297672300222027,0.020948407849957783
3,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,0,Cluster,LS-Num,0.08971669364339858,0.22612314764475272,0.008049085118303436,0.05113167790077064
4,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,0,Cluster,DM,-0.5585332621452662,-1.4077346608712484,0.3119594049226327,1.9817168754182888
5,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,0,Cluster,DM($0.75$),-0.06228726208407925,-0.15698964360644396,0.003879703017930777,0.024645748199678293
6,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,0,Bernoulli,PI-$n$($B$),0.04934386906869378,0.12436694373884327,0.002434817414668395,0.015467136694940608
7,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,0,Bernoulli,LS-Prop,-0.6783805221119864,-1.7097992885311843,0.4602001327809313,2.923413607061744
8,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,0,Bernoulli,LS-Num,-0.422640156822122,-1.0652278712092524,0.1786247021586279,1.1347104176009957
9,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,0,Bernoulli,DM,-0.9490120542133675,-2.391902600696535,0.9006238790422757,5.721198051218848
10,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,0,Bernoulli,DM($0.75$),-0.7193521919425988,-1.8130648299830827,0.5174675760526215,3.2872040777215847
11,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,1,Cluster,PI-$n$($p$),-0.011906715358575484,-0.03000984371640758,0.0001417698706301373,0.0009005907198832076
12,1000,50,0.5,0,0.0,50,0.5,1.0,0.5,1.25,0.0,SBM0,1,Cluster,PI-$\mathcal{U}$($p$),-0.011906715358575484,-0.03000984371640758,0.0001417698706301373,0.0009005907198832076
