,n,nc,Pii,Pij,Phi,B,p,EK,Eq,Graph,rep,design,K,q,Estimator,Bias,Abs_Bias,Rel_bias_sq,Bias_sq
0,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;1)$,-0.19132734492292422,-10.280783804265027,0.03660615291525562,105.6945156300381
1,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;1)$,-0.19132734492292422,-10.280783804265027,0.03660615291525562,105.6945156300381
2,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;2)$,-5.079876743042829,-272.96210360613145,25.805147724507417,74508.31000508444
3,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;2)$,-5.079876743042829,-272.96210360613145,25.805147724507417,74508.31000508444
4,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;3)$,110.42027180094864,5933.3230304902345,12192.636424595374,35204322.18414582
5,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;3)$,110.42027180094864,5933.3230304902345,12192.636424595374,35204322.18414582
6,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,HT,-1.0084185248460569,-54.186362343211464,1.0169079212526975,2936.161863989805
7,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C,-0.9206596382701574,-49.47072621627258,0.8476141695397371,2447.3527523653993
8,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C($0.75$),-1.04512975267314,-56.15900350765873,1.0922961999226188,3153.8336749732257
9,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;1)$,-0.25064385301419995,-13.468097128223022,0.06282234105380387,181.38964025524922
10,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(1),-0.2882927389795055,-15.491122416305394,0.08311270334830531,239.97487371695948
11,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(1),-0.27731947825931497,-14.901485210303505,0.07690609302201866,222.0542614728941
12,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;2)$,2.6699747202855293,143.46842513894947,7.12876500696379,20583.189011850347
13,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(2),0.9633179908703304,51.762930191115586,0.92798155153445,2679.4009419703057
14,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(2),1.5220049834901137,81.78341778891743,2.316499169768741,6688.527425236616
15,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;3)$,53.86333212444659,2894.2923593689056,2901.25854754844,8376928.261501227
16,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(3),8.445908027321877,453.8324330721374,71.33336240598013,205963.87730817607
17,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(3),10.722572297718065,576.166713978335,114.97355667979086,331968.0822965925
18,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM,-0.9376987287685475,-50.386304727571236,0.87927890593415,2538.7797040996675
19,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM($0.75$),-1.0459050594210524,-56.20066384147294,1.0939173933225552,3158.5146162222436
20,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;1)$,-0.30962204084683026,-15.550206558892093,0.09586580817815622,241.80892402421065
21,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;1)$,-0.30962204084683026,-15.550206558892093,0.09586580817815622,241.80892402421065
22,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;2)$,4.6082560150009915,231.4413170119635,21.236023499792818,53565.08322023218
23,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;2)$,4.6082560150009915,231.4413170119635,21.236023499792818,53565.08322023218
24,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;3)$,81.84413601386807,4110.473586340411,6698.462599856536,16895993.1040022
25,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;3)$,81.84413601386807,4110.473586340411,6698.462599856536,16895993.1040022
26,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,HT,-1.0091739872605665,-50.68393681806972,1.0184321365633902,2568.861451378083
27,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C,-0.9308386307067061,-46.749685328914275,0.8664605564159357,2185.533078352503
28,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C($0.75$),-1.0388838554330535,-52.17606116960507,1.0792796650794456,2722.34135917437
29,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;1)$,-0.5030917283222617,-25.266871415498848,0.2531012871062803,638.4147911273527
30,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(1),-0.2481514858258133,-12.462959199976105,0.06157915991755882,155.32535202026904
31,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(1),-0.21688530048259316,-10.892671635609204,0.04703923356542473,118.6502953612053
32,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;2)$,-1.9925126891336504,-100.0703431916514,3.970106816358611,10014.073586494893
33,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(2),-1.8284440844328924,-91.83029449890304,3.343207769897638,8432.802987755262
34,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(2),-1.9939078947385416,-100.1404148677144,3.975668692700683,10028.102689877955
