,n,nc,Pii,Pij,Phi,B,p,EK,Eq,Graph,rep,design,K,q,Estimator,Bias,Abs_Bias,Rel_bias_sq,Bias_sq
0,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;1)$,1.8950386388182399,20.90008520652107,3.5911714426140873,436.8135616398408
1,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;1)$,1.8950386388182399,20.90008520652107,3.5911714426140873,436.8135616398408
2,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;2)$,-25.68768390731272,-283.3054542654682,659.857104522013,80261.9804165633
3,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;2)$,-25.68768390731272,-283.3054542654682,659.857104522013,80261.9804165633
4,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;3)$,56.19102783081433,619.7220708061019,3157.4316086833505,384055.4450442032
5,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;3)$,56.19102783081433,619.7220708061019,3157.4316086833505,384055.4450442032
6,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,HT,-1.0414446552975798,-11.485930464810467,1.0846069700478949,131.9265986424612
7,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C,-0.7876963622732698,-8.687380167955006,0.6204655591385423,75.47057418257793
8,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C($0.75$),-1.2042441917293558,-13.28142112832965,1.4502040733138895,176.39614718804125
9,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;1)$,1.837775350590663,20.268537343249918,3.3774182392386347,410.81360603471643
10,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(1),2.211440658531503,24.38963367063385,4.890469786206248,594.8542305877163
11,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(1),2.3307733515172067,25.705735305838573,5.432504416142752,660.7848276138357
12,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;2)$,-0.8107716867665266,-8.941874318205125,0.6573507280622386,79.95711632257637
