,n,nc,Pii,Pij,Phi,B,p,EK,Eq,Graph,rep,design,K,q,Estimator,Bias,Abs_Bias,Rel_bias_sq,Bias_sq
0,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;1)$,-1.0,-42.802720586153036,1.0,1832.0728895762888
1,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;1)$,-1.0,-42.802720586153036,1.0,1832.0728895762888
2,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;2)$,-1.0,-42.802720586153036,1.0,1832.0728895762888
3,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;2)$,-1.0,-42.802720586153036,1.0,1832.0728895762888
4,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;3)$,-1.0,-42.802720586153036,1.0,1832.0728895762888
5,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;3)$,-1.0,-42.802720586153036,1.0,1832.0728895762888
6,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,HT,-1.0,-42.802720586153036,1.0,1832.0728895762888
7,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C,-1.0,-42.802720586153036,1.0,1832.0728895762888
8,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C($0.75$),-1.0,-42.802720586153036,1.0,1832.0728895762888
9,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;1)$,-0.9875142459254321,-42.268296343191885,0.9751843859056748,1786.6088757558884
10,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(1),-0.9587779810780075,-41.038306028237876,0.9192552170000201,1684.1425616673052
11,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(1),-0.9423468617065437,-40.335009416863386,0.8880176077681717,1626.912984658458
12,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;2)$,-1.0,-42.802720586153036,1.0,1832.0728895762888
13,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(2),-1.0,-42.802720586153036,1.0,1832.0728895762888
14,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(2),-1.0,-42.802720586153036,1.0,1832.0728895762888
15,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;3)$,-1.0,-42.802720586153036,1.0,1832.0728895762888
16,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(3),-1.0,-42.802720586153036,1.0,1832.0728895762888
17,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(3),-1.0,-42.802720586153036,1.0,1832.0728895762888
18,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM,-1.0007944276187424,-42.83672424954399,1.0015894863527262,1834.9849444314702
19,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM($0.75$),-1.0,-42.802720586153036,1.0,1832.0728895762888
20,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;1)$,-1.0,-38.536148887076095,1.0,1485.0347710468961
21,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;1)$,-1.0,-38.536148887076095,1.0,1485.0347710468961
22,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;2)$,-1.0,-38.536148887076095,1.0,1485.0347710468961
23,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;2)$,-1.0,-38.536148887076095,1.0,1485.0347710468961
24,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;3)$,-1.0,-38.536148887076095,1.0,1485.0347710468961
25,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;3)$,-1.0,-38.536148887076095,1.0,1485.0347710468961
