,n,nc,Pii,Pij,Phi,B,p,EK,Eq,Graph,rep,design,K,q,Estimator,Bias,Abs_Bias,Rel_bias_sq,Bias_sq
0,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;1)$,-1.0,-42.93020855907865,1.0,1843.0028069259897
1,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;1)$,-1.0,-42.93020855907865,1.0,1843.0028069259897
2,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;2)$,-1.0,-42.93020855907865,1.0,1843.0028069259897
3,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;2)$,-1.0,-42.93020855907865,1.0,1843.0028069259897
4,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;3)$,-1.0,-42.93020855907865,1.0,1843.0028069259897
5,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;3)$,-1.0,-42.93020855907865,1.0,1843.0028069259897
6,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,HT,-1.0,-42.93020855907865,1.0,1843.0028069259897
7,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C,-1.0,-42.93020855907865,1.0,1843.0028069259897
8,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C($0.75$),-1.0,-42.93020855907865,1.0,1843.0028069259897
9,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;1)$,-1.0,-42.93020855907865,1.0,1843.0028069259897
10,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(1),-1.0,-42.93020855907865,1.0,1843.0028069259897
11,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(1),-1.0,-42.93020855907865,1.0,1843.0028069259897
12,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;2)$,-1.0,-42.93020855907865,1.0,1843.0028069259897
13,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(2),-1.0,-42.93020855907865,1.0,1843.0028069259897
14,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(2),-1.0,-42.93020855907865,1.0,1843.0028069259897
15,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;3)$,-1.0,-42.93020855907865,1.0,1843.0028069259897
16,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(3),-1.0,-42.93020855907865,1.0,1843.0028069259897
17,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(3),-1.0,-42.93020855907865,1.0,1843.0028069259897
18,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM,-1.0,-42.93020855907865,1.0,1843.0028069259897
19,1000,50,0.5,0.0,0.0,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM($0.75$),-1.0,-42.93020855907865,1.0,1843.0028069259897
20,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;1)$,-1.0,-40.002767604686326,1.0,1600.2214160345418
21,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;1)$,-1.0,-40.002767604686326,1.0,1600.2214160345418
22,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;2)$,-1.0,-40.002767604686326,1.0,1600.2214160345418
23,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;2)$,-1.0,-40.002767604686326,1.0,1600.2214160345418
24,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;3)$,-52.22368521392545,-2089.091943072953,2727.3132973231754,4364305.146612328
25,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;3)$,-52.22368521392545,-2089.091943072953,2727.3132973231754,4364305.146612328
26,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,HT,-1.0,-40.002767604686326,1.0,1600.2214160345418
27,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C,-1.0,-40.002767604686326,1.0,1600.2214160345418
28,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C($0.75$),-1.0,-40.002767604686326,1.0,1600.2214160345418
29,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;1)$,-1.0,-40.002767604686326,1.0,1600.2214160345418
30,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(1),-1.0,-40.002767604686326,1.0,1600.2214160345418
31,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(1),-1.0,-40.002767604686326,1.0,1600.2214160345418
32,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;2)$,-1.0,-40.002767604686326,1.0,1600.2214160345418
33,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(2),-1.0,-40.002767604686326,1.0,1600.2214160345418
34,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(2),-1.0,-40.002767604686326,1.0,1600.2214160345418
35,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;3)$,-1.0,-40.002767604686326,1.0,1600.2214160345418
36,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Prop(3),-1.0,-40.002767604686326,1.0,1600.2214160345418
37,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,LS-Num(3),-1.0,-40.002767604686326,1.0,1600.2214160345418
38,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM,-1.0,-40.002767604686326,1.0,1600.2214160345418
39,1000,50,0.5,0.0,0.1,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,DM($0.75$),-1.0,-40.002767604686326,1.0,1600.2214160345418
40,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;1)$,-0.9968083271445799,-35.55307613009605,0.9936268410647758,1264.0212223124056
41,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;1)$,-0.9968083271445799,-35.55307613009605,0.9936268410647758,1264.0212223124056
42,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;2)$,-1.0,-35.66691324894935,1.0,1272.1287007080787
43,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;2)$,-1.0,-35.66691324894935,1.0,1272.1287007080787
44,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$n(p;3)$,-1.0,-35.66691324894935,1.0,1272.1287007080787
45,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,PI-$\mathcal{U}(p;3)$,-1.0,-35.66691324894935,1.0,1272.1287007080787
46,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,HT,-1.0,-35.66691324894935,1.0,1272.1287007080787
47,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C,-0.996754230994488,-35.55114668740362,0.9935189970054131,1263.8840307892897
48,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Cluster,50,1.0,DM-C($0.75$),-1.0,-35.66691324894935,1.0,1272.1287007080787
49,1000,50,0.5,0.0,0.2,0.06,0.06,50,1.0,SBM0,0,Bernoulli,50,1.0,PI-$n(B;1)$,-1.0,-35.66691324894935,1.0,1272.1287007080787
