,B,ratio,N,k,Graph,p,NC,q,q_true,rep,Estimator,Bias,Abs_Bias,Bias_sq
0,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,PI($p$),-0.027957360034883413,-0.031294972712104796,0.0009793753170513838
1,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,LS-Prop,-0.5523514812516557,-0.6182924464861159,0.3822855493817865
2,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,LS-Num,-0.551806587099511,-0.6176825016414998,0.38153167283410144
3,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,DM,-0.5621313988730325,-0.6292399127241919,0.39594286776514864
4,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,0,DM($0.75$),-0.5232937906812514,-0.585765783298213,0.3431215528829691
5,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,PI($p$),0.021160769149891793,0.023686989482795573,0.0005610734707580681
6,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,LS-Prop,-0.5578047863536701,-0.6243967794469314,0.3898713381836999
7,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,LS-Num,-0.5570773671980347,-0.6235825193523634,0.3888551584418407
8,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,DM,-0.5651122382776886,-0.6325766114579594,0.40015316936363415
9,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,1,DM($0.75$),-0.8181173402925754,-0.9157860330092026,0.8386640582547323
10,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,PI($p$),-0.018599253946159286,-0.020819674818520095,0.0004334588595489198
11,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,LS-Prop,-0.5729208263908647,-0.6413174064263328,0.4112880157853982
12,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,LS-Num,-0.5732100959162838,-0.6416412095999207,0.4117034418568493
13,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,DM,-0.5734564571145376,-0.6419169819534997,0.4120574117202896
14,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,2,DM($0.75$),-0.35022513321515225,-0.3920357992809732,0.15369206791787152
15,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,PI($p$),-0.05011947380785355,-0.056102849596842086,0.0031475297328858844
16,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,LS-Prop,-0.5701903761599558,-0.638260988890434,0.40737708993939475
17,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,LS-Num,-0.5689555643484894,-0.6368787624607493,0.40561455807353547
18,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,DM,-0.5629459641679592,-0.6301517226606504,0.3970911935721853
19,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,3,DM($0.75$),-0.7742530168988787,-0.8666850877866253,0.7511430413917105
20,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,PI($p$),0.0033100756753904215,0.003705239972840557,1.3728803256335493e-05
21,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,LS-Prop,-0.5423183202846602,-0.6070615041408264,0.36852366980972256
22,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,LS-Num,-0.5421699848442758,-0.6068954600811127,0.3683220994670655
23,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,DM,-0.5608754426165737,-0.6278340175779966,0.3941755536281282
24,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,4,DM($0.75$),-0.5393571163977682,-0.6037467850572062,0.3645101804669124
25,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,PI($p$),0.007376213482969423,0.008256802479925218,6.817478719249923e-05
26,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,LS-Prop,-0.5341963260152178,-0.5979698878826059,0.3575679868143362
27,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,LS-Num,-0.5329502121801182,-0.5965750101682236,0.35590174275721603
28,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,DM,-0.5300700062298619,-0.5933509587375432,0.35206536023476165
29,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,5,DM($0.75$),-0.49075817889171075,-0.5493459968142653,0.3017810242158588
30,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,PI($p$),0.014375091483159134,0.01609122231634741,0.0002589274356341169
31,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,LS-Prop,-0.5659357662285196,-0.6334984540323926,0.4013202912614314
32,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,LS-Num,-0.5650206549101744,-0.6324740946615357,0.40002348041792923
33,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,DM,-0.5373060343903933,-0.6014508402551578,0.3617431132436354
34,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,6,DM($0.75$),-0.4120603157340604,-0.46125300531053814,0.21275433490800333
35,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,PI($p$),-0.02713017691252336,-0.030369038603524023,0.0009222785057023323
36,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,LS-Prop,-0.5603126968131371,-0.6272040899117067,0.3933849704019723
37,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,LS-Num,-0.5591309256685003,-0.6258812362632501,0.3917273219064143
38,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,DM,-0.5560511662908745,-0.622433808267102,0.38742384567388755
39,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,7,DM($0.75$),-0.4344578120317126,-0.4863243652164777,0.23651138820321
40,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,PI($p$),0.010042991070152732,0.011241945988325952,0.00012638134960443796
41,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,LS-Prop,-0.5498047175369146,-0.6154416443768482,0.3787684176332789
42,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,LS-Num,-0.5486487256820224,-0.6141476476078712,0.37717733306228196
43,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,DM,-0.5457877317354783,-0.6109451017532241,0.3732539173562574
44,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,8,DM($0.75$),-0.4703129492949049,-0.5264599696097505,0.2771600996014994
45,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,PI($p$),-0.00677145465735574,-0.007579846182142802,5.7454068144944815e-05
46,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,LS-Prop,-0.55531865089427,-0.6216138435308276,0.38640377046916824
47,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,LS-Num,-0.555627991486677,-0.6219601139006351,0.386834383283291
48,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,DM,-0.5523825221265474,-0.6183271930906409,0.3823285177153507
49,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,9,DM($0.75$),-0.6086073890559133,-0.6812643114058454,0.46412106199528075
50,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,10,PI($p$),-0.019995645478921024,-0.022382770720946743,0.0005009884251464708
51,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,10,LS-Prop,-0.6046198581606952,-0.6768007400815567,0.45805924177494284
52,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,10,LS-Num,-0.6023599966307106,-0.6742710911867482,0.45464150441016815
53,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,10,DM,-0.5660858666375669,-0.6336664737667076,0.4015331999759335
54,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,10,DM($0.75$),-0.7445489791267856,-0.8334349150107587,0.6946137575589906
55,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,11,PI($p$),-0.01470649638324135,-0.016462191080629518,0.0002710037351751581
56,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,11,LS-Prop,-0.5449044075005284,-0.6099563242794495,0.3720467175284969
57,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,11,LS-Num,-0.5435208150126875,-0.6084075554007846,0.3701597534687588
58,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,11,DM,-0.5456604693725658,-0.610802646522485,0.3730798729988717
59,0.1,1.25,14400,12,120lat0,0.1,100,1.0,1.0,11,DM($0.75$),-0.4119950357586542,-0.4611799320644794,0.2126869297389978
