,B,ratio,N,k,Graph,p,NC,q,q_true,rep,Estimator,Bias,Abs_Bias,Bias_sq
0,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,0,PI($p$),-0.08950774750511675,-0.19048531210712394,0.036284654128548414
1,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,0,LS-Prop,-0.012238846246890199,-0.026046018497300594,0.0006783950795617247
2,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,0,LS-Num,-0.019569084586089594,-0.041645816020773996,0.0017343739920361561
3,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,0,DM,-0.3990892101000321,-0.8493190239218613,0.7213428043955832
4,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,0,DM($0.75$),-0.187207082664359,-0.39840349650119444,0.15872534602437724
5,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,1,PI($p$),0.06500305150146103,0.13833580777422005,0.01913679571254596
6,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,1,LS-Prop,0.011767731732239233,0.025043419304908277,0.0006271728504814526
7,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,1,LS-Num,0.012321062797213098,0.026220987097060444,0.0006875401643442103
8,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,1,DM,-0.40974006776034266,-0.8719855751666776,0.7603588432987616
9,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,1,DM($0.75$),-0.13955210249595051,-0.2969868702999914,0.0882012011305839
10,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,2,PI($p$),-0.05751749366276819,-0.12240546810035191,0.014983098620866268
11,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,2,LS-Prop,0.007148658442527684,0.01521336948507468,0.00023144661108940142
12,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,2,LS-Num,0.0010346942828266706,0.0022019776934776303,4.848705762573065e-06
13,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,2,DM,-0.39533131000287564,-0.841321674051859,0.7078221592294225
14,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,2,DM($0.75$),-0.14812710780105812,-0.3152357102875052,0.09937355304046791
15,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,3,PI($p$),0.01568734623743491,0.033384920607006485,0.0011145529239361262
16,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,3,LS-Prop,0.024643255789418107,0.052444379411007436,0.0027504129318057006
17,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,3,LS-Num,0.023885361035966727,0.05083147077818451,0.0025838384214734254
18,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,3,DM,-0.37171066151285054,-0.7910535495016586,0.625765718179173
19,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,3,DM($0.75$),-0.13381399643223524,-0.28477535839273327,0.08109700474770967
20,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,4,PI($p$),-0.15872167997930134,-0.33778247796142913,0.11409700241776335
21,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,4,LS-Prop,0.033897648602189544,0.07213905336313564,0.005204043020129332
22,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,4,LS-Num,0.03946688221347046,0.08399118049416066,0.007054518400802673
23,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,4,DM,-0.40241713827689185,-0.856401331935511,0.7334232413409174
24,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,4,DM($0.75$),-0.15010426130935298,-0.3194433762561937,0.10204407063395612
25,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,5,PI($p$),-0.08603481577953748,-0.18309441576448182,0.03352356508413693
26,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,5,LS-Prop,-0.00764175766991863,-0.01626275529633059,0.0002644772098283286
27,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,5,LS-Num,0.001721447813747213,0.003663487611047511,1.3421141476298601e-05
28,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,5,DM,-0.38045111747003746,-0.8096544921839459,0.6555403967136434
29,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,5,DM($0.75$),-0.15009340794908113,-0.31942027875037526,0.10202931447696743
30,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,6,PI($p$),0.0007953139764050543,0.0016925421010065556,2.8646987636796852e-06
31,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,6,LS-Prop,-0.0019264572735969029,-0.004099777117072101,1.6808172409668027e-05
32,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,6,LS-Num,-0.009805319607723028,-0.020867125113169127,0.00043543691048865364
33,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,6,DM,-0.4005054928953578,-0.85233307664712,0.7264716735467454
34,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,6,DM($0.75$),-0.1693211702051105,-0.36033971194527226,0.12984470800480177
35,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,7,PI($p$),-0.03413785607153377,-0.07265024927682884,0.0052780587199853695
36,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,7,LS-Prop,0.009504237333712503,0.020226378892496566,0.0004091064031028306
37,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,7,LS-Num,0.008606397474459128,0.018315647022025594,0.00033546292583543503
38,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,7,DM,-0.39412318806752955,-0.8387506174636603,0.7035025982956714
39,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,7,DM($0.75$),-0.15641037055370788,-0.33286368032008373,0.1107982296762309
40,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,8,PI($p$),-0.20226689282995622,-0.43045293042873056,0.18528972531468155
41,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,8,LS-Prop,-0.0303803381091461,-0.06465371264437003,0.004180102558700773
42,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,8,LS-Num,-0.035122959921100434,-0.07474669142259849,0.005587067878625158
43,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,8,DM,-0.3924222252828633,-0.8351307249297628,0.6974433277217111
44,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,8,DM($0.75$),-0.17152911375989033,-0.36503853220240257,0.13325312999248448
45,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,9,PI($p$),-0.10361121905670412,-0.22049952043187804,0.0486200385106882
46,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,9,LS-Prop,-0.027905900304949396,-0.059387754438962936,0.003526905377302562
47,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,9,LS-Num,-0.033096500189572685,-0.0704340947458637,0.004960961702669305
48,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,9,DM,-0.3962313109994454,-0.8432370051322051,0.7110486468243306
49,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,9,DM($0.75$),-0.166687447050443,-0.3547347716903304,0.12583675824619084
50,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,10,PI($p$),0.017237658987755606,0.036684208281423825,0.0013457311372348842
51,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,10,LS-Prop,-0.03164658766698279,-0.06734847314223913,0.004535816834590906
52,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,10,LS-Num,-0.03718631672309394,-0.07913781035220424,0.006262793027341445
53,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,10,DM,-0.3998021353317967,-0.8508362309689268,0.7239222919294089
54,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,10,DM($0.75$),-0.18737554031116738,-0.39876199851161864,0.15901113145698015
55,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,11,PI($p$),0.11698830679726,0.24896787992442926,0.06198500523406503
56,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,11,LS-Prop,0.013075297703845372,0.027826107051438953,0.0007742922336381406
57,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,11,LS-Num,0.00787323489830691,0.016755372006327818,0.0002807424910704339
58,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,11,DM,-0.37999990966749486,-0.8086942573273199,0.6539864018341855
59,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,11,DM($0.75$),-0.16518530658576905,-0.351538001542296,0.12357896652835129
60,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,12,PI($p$),-0.01881022857471956,-0.04003086169336312,0.0016024698879131666
61,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,12,LS-Prop,0.008731632473947966,0.018582165045652577,0.00034529685778387245
62,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,12,LS-Num,0.008011320877752382,0.01704923875669806,0.0002906765421828952
63,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,12,DM,-0.38649184417741783,-0.822510024182932,0.6765227398814073
64,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,12,DM($0.75$),-0.15883776447493522,-0.33802952240169226,0.11426395801511617
65,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,13,PI($p$),-0.11361989873244345,-0.2417994249089117,0.05846696188628043
66,0.05,1.25,14400,12,120lat0,0.5,100,0.1,0.1,13,LS-Prop,-0.037767053845745295,-0.08037370216206252,0.006459931999235934
