,B,ratio,N,k,Graph,p,NC,q,q_true,rep,Estimator,Bias,Abs_Bias,Bias_sq
0,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,0,PI($p$),-0.5906987261029568,-1.2577407598611199,1.5819118190160273
1,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,0,LS-Prop,-0.0695396144446533,-0.1480666939796702,0.021923745866069305
2,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,0,LS-Num,-0.05196557159156227,-0.11064729719562161,0.012242824376696214
3,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,0,DM,-0.6483323287307685,-1.3804566689352207,1.9056606148077255
4,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,0,DM($0.75$),-0.1442831151305738,-0.30721372307112027,0.09438027164321898
5,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,1,PI($p$),0.3910663207390883,0.8326749824693946,0.6933476264304067
6,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,1,LS-Prop,0.07623041282973707,0.1623130254394507,0.026345518227307768
7,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,1,LS-Num,0.06953923999043535,0.148065896675881,0.021923509758432665
8,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,1,DM,-0.628230996155686,-1.3376560597752838,1.7893237342535375
9,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,1,DM($0.75$),-1.248672802695229,-2.6587270469347133,7.068829510102181
10,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,2,PI($p$),-0.7526981743866338,-1.6026768502529594,2.568573086336747
11,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,2,LS-Prop,0.046992665396768746,0.10005877458711421,0.010011758371874933
12,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,2,LS-Num,0.04215401799913886,0.08975612149905876,0.008056161346553799
13,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,2,DM,-0.6242808764229545,-1.3292452974447717,1.7668930607790396
14,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,2,DM($0.75$),0.16960493349111208,0.3611300117957681,0.1304148854196116
15,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,3,PI($p$),-0.30278632834500135,-0.6447054815923603,0.4156451579952372
16,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,3,LS-Prop,-0.14412679639414466,-0.3068808825931426,0.09417587610114618
17,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,3,LS-Num,-0.13948818523348028,-0.2970041551378384,0.08821146816914117
18,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,3,DM,-0.6368145721290798,-1.3559325734869794,1.8385531438430227
19,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,3,DM($0.75$),-1.2491909016101623,-2.659830205100045,7.074696719962547
20,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,4,PI($p$),-0.1983272145379634,-0.4222867097746883,0.17832606525233183
21,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,4,LS-Prop,-0.10733163797744706,-0.22853507201125,0.05222827913918723
22,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,4,LS-Num,-0.11260695909087386,-0.2397675092800522,0.05748845850635991
23,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,4,DM,-0.6381518618410174,-1.3587799874124222,1.8462830541925024
24,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,4,DM($0.75$),-0.2101676026137702,-0.44749776582988643,0.20025425042273987
25,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,5,PI($p$),-0.8319577480684532,-1.7714396933464533,3.1379985871633767
26,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,5,LS-Prop,-0.15380425997632408,-0.32748654815751554,0.10724743922412475
27,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,5,LS-Num,-0.1557119865644196,-0.3315485604532731,0.10992444793863768
28,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,5,DM,-0.6142812570166234,-1.3079536840475072,1.7107428396134463
29,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,5,DM($0.75$),-0.44083917754192814,-0.9386534584154411,0.8810703149952682
30,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,6,PI($p$),-0.21062588130226687,-0.4484735522340668,0.20112852705344225
31,0.05,1.25,14400,12,120lat0,0.1,100,0.5,0.5,6,LS-Prop,-0.0420842599629932,-0.08960758973233718,0.008029520137638859
