,B,ratio,N,k,Graph,p,NC,q,q_true,rep,Estimator,Bias,Abs_Bias,Bias_sq
0,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,PI($p$),-0.3092066428465308,-0.6558397790780088,0.43012581582109144
1,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,LS-Prop,-0.6221819095403598,-1.3196729615599245,1.741536725472342
2,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,LS-Num,-0.6238923194319155,-1.3233008100274866,1.751125033819402
3,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,DM,-0.6258950121077068,-1.3275486020864173,1.762385290901601
4,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,0,DM($0.75$),-0.6249698732857547,-1.3255863452764731,1.7571791587834371
5,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,PI($p$),-0.3399708264014653,-0.7210918550374432,0.519973463401341
6,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,LS-Prop,-0.6417168946213754,-1.3611074539818238,1.8526135012848826
7,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,LS-Num,-0.6418796325685202,-1.3614526277410954,1.8535532575831337
8,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,DM,-0.6445731814447123,-1.3671657537064208,1.8691421981076457
9,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,1,DM($0.75$),-0.6449589451766755,-1.3679839741638404,1.8713801535690948
10,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,PI($p$),-0.3311535344942442,-0.7023900227505853,0.49335174405956767
11,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,LS-Prop,-0.6562867918421871,-1.3920107945003817,1.9376940520055839
12,0.1,1.25,14400,12,120lat0,1.0,100,0.1,0.1,2,LS-Num,-0.6556181868590845,-1.3905926563246565,1.9337479358240641
